reality,predict,mape,accurary
557.07,446.1083165,0.199188044,0.8
507.15,458.0705362,0.096775044,0.9
485.25,475.7779166,0.019520007,0.98
485.19,451.43017,0.069580639,0.93
487.19,421.0272567,0.135804806,0.86
543.09,421.0272567,0.224756013,0.78
1018.3,286.1045818,0.71903704,0.28
1004.52,315.5920744,0.685827983,0.31
1021.18,315.5920744,0.69095353,0.31
681.69,388.0999779,0.430679667,0.57
936.44,458.9456169,0.509903873,0.49
1166.15,482.7764289,0.586008293,0.41
1106.16,556.2201388,0.497161226,0.5
991.44,646.1980933,0.348222693,0.65
676.87,659.544588,0.025596366,0.97
676.87,694.6401885,0.026253473,0.97
1005.46,622.3733685,0.381006337,0.62
1281.95,622.3733685,0.514510419,0.49
1194.01,588.518974,0.507107165,0.49
1064.23,512.4749187,0.518454734,0.48
712.81,477.4762713,0.330149309,0.67
708.93,497.4914371,0.298250269,0.7
1098.17,484.4997657,0.558811691,0.44
956.41,458.0705362,0.521052126,0.48
790.68,475.7779166,0.39826742,0.6
483.19,502.9647644,0.040925442,0.96
461.29,502.9647644,0.090343958,0.91
399.33,625.3963551,0.566114129,0.43
429.28,625.3963551,0.456849504,0.54
946.62,502.9647644,0.468673,0.53
880.53,495.6735942,0.437073587,0.56
944.43,538.330561,0.429994218,0.57
972.38,588.003607,0.395294425,0.6
656.91,659.544588,0.004010577,1
952.41,662.6801241,0.304207091,0.7
1114.23,734.3332395,0.340950038,0.66
1064.23,754.9923733,0.290574055,0.71
770.72,773.0497163,0.003022779,1
816.79,694.6401885,0.149548613,0.85
838.6,711.2540731,0.151855386,0.85
858.57,711.2540731,0.171582896,0.83
892.51,694.6401885,0.221700386,0.78
910.48,606.1204852,0.334284679,0.67
889.1,584.9879488,0.342044822,0.66
882.69,549.9268501,0.376987561,0.62
858.65,564.6729231,0.342371254,0.66
818.64,556.2201388,0.320555875,0.68
761.66,546.5584032,0.282411571,0.72
726.79,516.7226895,0.289034399,0.71
708.82,516.7226895,0.271010003,0.73
708.82,516.7226895,0.271010003,0.73
686.86,509.2320792,0.258608626,0.74
700.89,516.7226895,0.262762075,0.74
728.92,546.2491989,0.250604732,0.75
766.72,516.7226895,0.326060766,0.67
776.71,556.2201388,0.283876687,0.72
822.63,637.7104687,0.224790649,0.78
866.56,638.0166654,0.263736307,0.74
876.54,685.6621615,0.217762839,0.78
896.51,698.8025715,0.220530087,0.78
892.51,698.8025715,0.217036704,0.78
880.78,698.8025715,0.206609401,0.79
834.61,657.9364752,0.21168393,0.79
822.63,651.3222962,0.20824393,0.79
852.58,610.4900995,0.283949777,0.72
850.58,610.4900995,0.282266101,0.72
890.52,574.7587086,0.354580797,0.65
890.52,574.7587086,0.354580797,0.65
852.58,549.9268501,0.354985045,0.65
864.71,564.6729231,0.346980001,0.65
780.77,564.6729231,0.276774309,0.72
740.77,526.2167329,0.28963547,0.71
728.79,535.5188805,0.265194527,0.73
708.82,546.5584032,0.228917915,0.77
704.36,546.5584032,0.224035432,0.78
686.99,483.1723291,0.296682151,0.7
686.86,483.1723291,0.296549036,0.7
720.8,483.1723291,0.329672129,0.67
730.2,469.5010215,0.357024074,0.64
776.71,475.7779166,0.387444585,0.61
804.66,482.7764289,0.400024322,0.6
796.67,482.7764289,0.394007018,0.61
832.61,484.4997657,0.418095188,0.58
852.74,502.5138264,0.410706867,0.59
840.6,521.9592971,0.379063411,0.62
816.64,524.3436461,0.35792559,0.64
790.76,521.9592971,0.339927036,0.66
808.65,477.103384,0.410000143,0.59
824.63,477.103384,0.42143339,0.58
832.61,439.8982613,0.47166349,0.53
858.57,439.8982613,0.487638444,0.51
890.68,448.3114762,0.496663812,0.5
858.57,448.3114762,0.477839342,0.52
828.62,393.808781,0.5247414,0.48
792.68,416.3117578,0.474804766,0.53
740.83,517.6502895,0.301256308,0.7
716.81,579.056297,0.192176034,0.81
686.86,424.1288366,0.382510502,0.62
664.89,465.6965325,0.299588605,0.7
666.89,465.6965325,0.301689135,0.7
675.01,458.9456169,0.32009064,0.68
702.83,434.1381443,0.382299924,0.62
714.81,440.5241513,0.383718539,0.62
772.79,491.3106645,0.364237808,0.64
606.99,464.8085797,0.234240136,0.77
545.8,464.8085797,0.14839029,0.85
559.15,493.7267486,0.117004831,0.88
549.08,452.6704003,0.175583885,0.82
659.09,484.4426215,0.264982595,0.74
824.7,502.5138264,0.390670757,0.61
786.69,540.1358645,0.313406978,0.69
790.68,493.7267486,0.375566919,0.62
828.62,502.5138264,0.393553346,0.61
850.58,460.6724394,0.458401985,0.54
585.11,440.5241513,0.247108832,0.75
581.03,379.1521069,0.347448313,0.65
624.96,393.808781,0.369865622,0.63
579.03,393.808781,0.319881904,0.68
513.22,300.264442,0.4149401,0.59
720.8,177.3561904,0.753945352,0.25
680.87,184.7727212,0.728622613,0.27
465.22,174.785167,0.624295673,0.38
421.3,320.2343138,0.239890069,0.76
379.42,174.785167,0.539335915,0.46
379.37,174.785167,0.539275201,0.46
595.01,229.7500632,0.61387193,0.39
722.8,315.5920744,0.563375658,0.44
758.8,333.625601,0.560324722,0.44
547.09,416.3117578,0.239043379,0.76
565.06,417.9805023,0.260290054,0.74
636.94,434.1381443,0.318400251,0.68
906.49,407.0652082,0.55094352,0.45
890.69,413.0042652,0.536309754,0.46
868.55,363.2491515,0.581775198,0.42
840.6,383.7873654,0.543436396,0.46
850.74,163.8855313,0.807361202,0.19
890.52,160.6729401,0.819574024,0.18
910.57,165.7917095,0.817925355,0.18
916.64,166.2962251,0.818580659,0.18
925.17,166.2962251,0.820253332,0.18
924.46,166.2962251,0.820115283,0.18
910.48,163.8855313,0.820000954,0.18
830.62,161.0197894,0.806145061,0.19
758.81,295.0139456,0.611215,0.39
672.88,163.8855313,0.756441667,0.24
652.91,295.9116935,0.546780271,0.45
652.91,290.7373103,0.55470538,0.45
647.04,290.7373103,0.550665631,0.45
668.89,290.7373103,0.565343614,0.43
690.85,290.7373103,0.579160005,0.42
754.74,285.9054784,0.621186795,0.38
758.74,286.1045818,0.622921446,0.38
812.72,351.5928278,0.567387504,0.43
660.9,407.0652082,0.384074432,0.62
682.86,437.3634101,0.35951233,0.64
690.85,431.2343624,0.375791616,0.62
834.76,431.2343624,0.483403179,0.52
912.48,437.3634101,0.520687127,0.48
786.69,469.7155818,0.402921631,0.6
664.89,484.4426215,0.271394334,0.73
810.65,452.6704003,0.441595756,0.56
972.38,446.1083165,0.541220185,0.46
950.51,401.1642348,0.577948433,0.42
814.64,417.9805023,0.486913849,0.51
720.8,401.1642348,0.443445845,0.56
806.78,411.9212966,0.489425498,0.51
931.03,427.8447112,0.540460875,0.46
698.84,427.8447112,0.387778732,0.61
525.12,427.8447112,0.185243923,0.81
477.2,427.8447112,0.103426842,0.9
469.58,411.9212966,0.122787818,0.88
463.23,411.9212966,0.110762911,0.89
445.31,411.9212966,0.074978562,0.93
593.01,411.9212966,0.305372091,0.69
790.68,401.1642348,0.492633891,0.51
852.58,411.9212966,0.516853203,0.48
595.01,446.1083165,0.250250724,0.75
545.09,477.4762713,0.124041404,0.88
816.72,484.4997657,0.406773722,0.59
904.49,541.9548996,0.400817146,0.6
882.53,512.4749187,0.419311617,0.58
850.74,503.5136588,0.408146251,0.59
806.66,512.4749187,0.364695264,0.64
826.62,532.4781456,0.355836847,0.64
868.55,532.4781456,0.386934378,0.61
906.49,503.5136588,0.444545821,0.56
912.48,526.2167329,0.423311489,0.58
814.64,526.2167329,0.354049969,0.65
680.96,521.5341467,0.234119263,0.77
658.9,521.5341467,0.208477543,0.79
750.88,477.4762713,0.364111081,0.64
790.68,484.4997657,0.387236599,0.61
758.74,484.4997657,0.361441646,0.64
738.77,490.2796104,0.336356904,0.66
722.8,509.2320792,0.29547305,0.7
710.82,509.2320792,0.283599112,0.72
746.76,490.2796104,0.34345759,0.66
767,490.2796104,0.360782777,0.64
774.71,509.2320792,0.342680385,0.66
818.64,517.0761668,0.36837173,0.63
815.88,494.767453,0.393578157,0.61
662.9,503.5730527,0.240348389,0.76
626.96,555.030079,0.114728086,0.89
868.55,574.1735191,0.338928652,0.66
904.57,555.6341272,0.385747784,0.61
880.7,555.6341272,0.369099435,0.63
844.59,565.0244009,0.33100747,0.67
848.59,556.8335904,0.34381316,0.66
878.54,539.054858,0.386419676,0.61
910.48,539.054858,0.407944317,0.59
918.47,508.9715448,0.445848482,0.55
904.49,517.2130311,0.428171642,0.57
902.5,517.2130311,0.426910769,0.57
882.62,517.2130311,0.414002593,0.59
830.76,517.2130311,0.377421841,0.62
792.68,489.7935982,0.382104256,0.62
716.81,489.7935982,0.316703732,0.68
485.19,497.7245469,0.025834306,0.97
419.3,489.0212155,0.166280027,0.83
435.27,497.7245469,0.143484612,0.86
724.79,480.8940567,0.336505668,0.66
742.76,494.767453,0.333879782,0.67
790.9,494.767453,0.374424765,0.63
832.61,514.1401517,0.382495824,0.62
846.59,536.2618097,0.366562551,0.63
894.51,586.1304377,0.344746914,0.66
910.48,592.7836057,0.348932864,0.65
953.93,627.2161564,0.342492472,0.66
926.63,613.5366885,0.33788385,0.66
926.46,613.5366885,0.337762355,0.66
882.53,613.5366885,0.304797924,0.7
871.45,597.437625,0.314432698,0.69
894.51,544.5767324,0.391201068,0.61
922.46,549.8862108,0.403891539,0.6
908.49,549.8862108,0.394725081,0.61
930.45,517.2149664,0.444123847,0.56
914.48,487.6378908,0.466759371,0.53
906.74,492.3922306,0.456964256,0.54
860.57,487.6378908,0.433354764,0.57
814.64,487.6378908,0.40140689,0.6
800.67,482.929457,0.396843322,0.6
744.76,475.3226104,0.361777471,0.64
752.75,475.3226104,0.368551829,0.63
736.77,455.3016211,0.382030184,0.62
740.77,455.3016211,0.38536709,0.61
784.91,459.3353569,0.414792324,0.59
770.72,459.3353569,0.404017857,0.6
830.62,455.3016211,0.451853289,0.55
874.54,455.3016211,0.479381594,0.52
920.47,459.3353569,0.500977374,0.5
960.4,478.6885254,0.501573797,0.5
974.38,448.921194,0.539275032,0.46
958.4,455.3016211,0.524935704,0.48
944.69,452.1001519,0.52143015,0.48
878.54,452.1001519,0.485396053,0.51
892.51,455.3016211,0.489863843,0.51
958.4,459.3353569,0.520726881,0.48
986.36,459.3353569,0.534312668,0.47
1001.96,459.3353569,0.541563179,0.46
980.55,463.8137545,0.526986126,0.47
958.4,463.8137545,0.516054096,0.48
924,435.71486,0.528447121,0.47
852.58,441.1287092,0.482595523,0.52
810.65,435.71486,0.462511737,0.54
644.93,441.1287092,0.316005289,0.68
487.19,431.507774,0.114292629,0.89
487.19,468.3358153,0.03869986,0.96
675.06,474.1549867,0.297610602,0.7
690.85,474.1549867,0.313664346,0.69
569.05,474.1549867,0.166760413,0.83
764.73,474.1549867,0.379970726,0.62
818.64,474.1549867,0.42080159,0.58
832.61,468.3358153,0.437508779,0.56
870.55,474.1549867,0.455338594,0.54
868.55,474.1549867,0.454084409,0.55
896.75,474.1549867,0.471251757,0.53
862.56,536.2618097,0.378290427,0.62
856.57,526.3579861,0.385504995,0.61
812.65,589.1711285,0.27500015,0.72
806.66,622.4630546,0.228345208,0.77
870.55,644.4319815,0.259741564,0.74
888.52,652.439185,0.265701183,0.73
908.49,661.7121725,0.271635161,0.73
924.72,615.2661359,0.334646016,0.67
916.47,600.0625961,0.345245784,0.65
898.5,569.9129931,0.365706185,0.63
840.6,569.9129931,0.322016425,0.68
834.61,569.9129931,0.317150534,0.68
790.68,558.0933415,0.294160291,0.71
780.18,558.0933415,0.284660794,0.72
740.77,589.983848,0.203553265,0.8
740.83,537.3223668,0.274702203,0.73
749.47,523.2905361,0.301785881,0.7
786.69,567.9589849,0.278039654,0.72
802.66,589.983848,0.264964184,0.74
864.56,579.9875772,0.32915289,0.67
882.53,626.1424461,0.290514265,0.71
894.76,689.0049211,0.229955607,0.77
926.46,675.0466505,0.271369891,0.73
1108.15,703.493366,0.365164133,0.63
1172.05,744.8716608,0.364471088,0.64
1106.16,825.3801087,0.253832982,0.75
1076.21,798.1194777,0.25839801,0.74
1040.27,803.8258339,0.227291151,0.77
1072.21,853.5718559,0.203913547,0.8
1132.19,853.5718559,0.246087798,0.75
1176.28,718.02323,0.389581367,0.61
1146.09,692.2179763,0.396017785,0.6
1048.25,646.9576327,0.382821242,0.62
906.49,629.9816112,0.305031924,0.69
854.58,619.8844469,0.27463263,0.73
804.66,613.3276206,0.237780403,0.76
758.74,613.3276206,0.191649813,0.81
730.98,648.374318,0.113006761,0.89
730.78,581.6615377,0.204053836,0.8
724.79,614.8987754,0.15161802,0.85
756.74,589.983848,0.220361223,0.78
746.76,725.0775932,0.029035308,0.97
776.71,794.5144698,0.022922931,0.98
847.34,846.3182916,0.001205783,1
838.6,963.1860233,0.148564302,0.85
896.51,863.4318621,0.036896563,0.96
922.54,787.3724353,0.146516752,0.85
962.58,831.2813717,0.136402822,0.86
1170.05,752.4358337,0.356919932,0.64
1148.09,831.2813717,0.275944071,0.72
1118.14,718.02323,0.357841388,0.64
1100.4,744.8716608,0.323090094,0.68
1082.27,765.827274,0.292387968,0.71
1146.09,787.3724353,0.312992492,0.69
1112.15,752.3712361,0.323498416,0.68
1074.21,720.979659,0.328828014,0.67
1076.21,653.4047948,0.392864966,0.61
1062.23,615.2661359,0.420778799,0.58
988.35,584.3923444,0.408719235,0.59
926.46,564.8415718,0.390322764,0.61
503.23,588.518974,0.169483087,0.83
473.28,588.518974,0.243490057,0.76
461.23,556.4872078,0.206528647,0.79
459.23,556.4872078,0.211783219,0.79
888.52,556.4872078,0.373691973,0.63
970.38,541.9548996,0.441502402,0.56
908.49,546.8208332,0.398099227,0.6
994.34,564.8415718,0.431943227,0.57
946.42,595.5919634,0.370689585,0.63
634.94,653.4047948,0.029081165,0.97
860.8,659.2785199,0.234109526,0.77
1205.99,708.372435,0.412621635,0.59
1202,751.406322,0.374869948,0.63
1174.04,751.406322,0.35998235,0.64
652.67,720.979659,0.104661864,0.9
608.99,752.3712361,0.235441035,0.76
1154.08,688.9889797,0.40299721,0.6
1181.25,661.7121725,0.439820383,0.56
1140.33,615.1935684,0.460512686,0.54
1126.12,595.5919634,0.471111459,0.53
1026.29,585.1772989,0.429812919,0.57
686.86,574.1735191,0.164060334,0.84
1058.24,595.5919634,0.437186306,0.56
754.74,554.964616,0.264694311,0.74
501.16,555.030079,0.107490779,0.89
473.28,532.5409561,0.125213312,0.87
461.23,532.5409561,0.154610403,0.85
710.82,532.5409561,0.25080758,0.75
746.76,532.5409561,0.286864647,0.71
767,532.5409561,0.305683238,0.69
774.71,523.2905361,0.32453365,0.68
818.64,569.9129931,0.303829531,0.7
815.88,584.3923444,0.283727577,0.72
1112.15,641.9792011,0.42275844,0.58
1140.18,641.9792011,0.436949253,0.56
1168.29,672.8951761,0.424034122,0.58
1168.05,661.7121725,0.433489857,0.57
926.46,661.7121725,0.285762826,0.71
868.55,672.8951761,0.225266046,0.77
862.56,641.9792011,0.255728064,0.74
938.44,641.9792011,0.315908102,0.68
916.47,631.3099974,0.311150395,0.69
928.45,594.4609923,0.359727511,0.64
940.43,575.4520994,0.388096829,0.61
934.54,545.7415282,0.416031921,0.58
906.08,545.7415282,0.397689466,0.6
834.61,573.1501766,0.313271856,0.69
822.63,554.964616,0.325377611,0.67
744.42,554.964616,0.254500664,0.75
746.76,532.5409561,0.286864647,0.71
724.85,532.5409561,0.265308745,0.73
732.92,523.2288167,0.286103781,0.71
730.78,523.2288167,0.284013223,0.72
760.73,523.2288167,0.312201679,0.69
808.65,523.2288167,0.352960098,0.65
854.58,545.7415282,0.361392113,0.64
880.53,554.964616,0.369737981,0.63
900.5,554.964616,0.383715029,0.62
926.46,575.4520994,0.37887,0.62
986.45,567.3879283,0.42481836,0.58
998.53,556.7186631,0.442461756,0.56
1110.15,615.1935684,0.445846446,0.55
850.58,604.9695215,0.28875647,0.71
888.52,594.4609923,0.330953729,0.67
908.49,604.9695215,0.334093362,0.67
924.46,575.4520994,0.377526232,0.62
1114.14,575.4520994,0.483501087,0.52
1152.08,554.964616,0.518293334,0.48
924.54,545.7415282,0.409715612,0.59
902.66,536.2618097,0.405909413,0.59
818.64,545.7415282,0.333355897,0.67
764.73,538.09371,0.296361186,0.7
746.76,514.5331536,0.310979225,0.69
724.79,523.2288167,0.278095977,0.72
724.79,523.2905361,0.278010822,0.72
732.15,489.0212155,0.3320751,0.67
718.8,497.7245469,0.307561843,0.69
734.84,489.0212155,0.334520147,0.67
770.72,514.1401517,0.33290929,0.67
803.27,514.1401517,0.359941051,0.64
822.63,545.3246893,0.337096034,0.66
882.53,545.3246893,0.382089346,0.62
912.56,564.631194,0.381266773,0.62
1006.52,583.2826403,0.420495728,0.58
1164.06,608.6788658,0.477106965,0.52
1158.07,629.9816112,0.456007313,0.54
1192.01,608.6788658,0.489367651,0.51
1233.94,618.965601,0.498382741,0.5
1040.27,618.965601,0.404995241,0.6
892.51,604.507444,0.322688324,0.68
1289.85,574.1735191,0.554852487,0.45
1296.2,574.1735191,0.557033236,0.44
1178.04,536.2618097,0.544784719,0.46
1132.11,545.7415282,0.517943019,0.48
1014.31,554.964616,0.452864887,0.55
658.9,523.2288167,0.205905575,0.79
764.73,532.5409561,0.303622251,0.7
764.73,532.5409561,0.303622251,0.7
772.71,532.5409561,0.310813946,0.69
714.95,532.5409561,0.255135386,0.74
722.85,523.2288167,0.276158516,0.72
756.74,503.5730527,0.334549445,0.67
762.73,532.5409561,0.301796237,0.7
798.67,564.8415718,0.292772269,0.71
826.62,595.5919634,0.279485177,0.72
854.58,658.3093822,0.229669098,0.77
895.37,689.0049211,0.230480225,0.77
902.5,754.5002044,0.163988693,0.84
954.41,752.3712361,0.211689697,0.79
1093.81,705.4677029,0.355036338,0.64
946.42,693.7433688,0.2669815,0.73
876.54,675.0466505,0.229873536,0.77
874.54,627.2161564,0.282804496,0.72
992.35,646.8813274,0.348131881,0.65
1140.33,593.1401767,0.479852168,0.52
954.49,603.6965602,0.36751924,0.63
932.45,603.6965602,0.35256951,0.65
922.46,565.0244009,0.387480865,0.61
862.56,575.0803952,0.333286502,0.67
782.7,575.0803952,0.26526077,0.73
756.74,575.0803952,0.240055508,0.76
726.79,590.5009507,0.18752191,0.81
457.24,575.0803952,0.257721099,0.74
649.04,560.0134079,0.137166572,0.86
744.82,581.6615377,0.219057574,0.78
778.7,560.0134079,0.280835485,0.72
790.68,560.0134079,0.291731917,0.71
844.59,613.3276206,0.273816147,0.73
852.58,619.8844469,0.272931048,0.73
900.5,671.8801855,0.253880971,0.75
1126.12,683.7572853,0.392820228,0.61
1136.34,676.048748,0.405064727,0.59
1108.15,720.0550045,0.350218829,0.65
1100.17,720.0550045,0.34550569,0.65
1070.3,688.9889797,0.356265552,0.64
1070.22,751.406322,0.297895459,0.7
1086.12,701.2512276,0.35435198,0.65
1116.14,688.9889797,0.382703801,0.62
1108.37,672.8951761,0.392896617,0.61
976.37,631.3099974,0.353411107,0.65
933.66,574.1735191,0.385029326,0.61
900.5,584.3923444,0.351035709,0.65
840.6,600.0625961,0.28614966,0.71
796.67,555.030079,0.303312439,0.7
768.72,591.9438056,0.229961747,0.77
740.77,581.6615377,0.21478794,0.79
734.78,560.0134079,0.237848869,0.76
712.95,581.6615377,0.184148204,0.82
750.75,614.8987754,0.180954012,0.82
780.77,581.6615377,0.255015513,0.74
778.7,581.6615377,0.253035138,0.75
834.61,613.3276206,0.265132672,0.73
876.54,643.8469784,0.265467659,0.73
880.53,676.048748,0.232225196,0.77
920.47,646.8743213,0.297234759,0.7
1207.99,658.3093822,0.455037391,0.54
1164.06,683.7572853,0.41260993,0.59
1140.33,732.7555329,0.357417999,0.64
1124.21,676.048748,0.398645495,0.6
1100.17,646.8743213,0.412023304,0.59
1126.12,618.135323,0.451092847,0.55
1176.04,618.135323,0.474392603,0.53
